Date,Open,High,Low,Close
04-Jul-05,,,,4526.17
05-Jul-05,,,,4487.97
06-Jul-05,,,,4565.87
07-Jul-05,,,,4519.37
08-Jul-05,,,,4601.5
11-Jul-05,,,,4683.55
12-Jul-05,,,,4697.83
13-Jul-05,,,,4728.5
14-Jul-05,,,,4752.44
15-Jul-05,,,,4823.25
18-Jul-05,,,,4925.18
19-Jul-05,,,,4954.35
20-Jul-05,,,,4989.28
21-Jul-05,,,,4964.9
22-Jul-05,,,,5031.87
25-Jul-05,,,,5048.87
26-Jul-05,,,,4989.54
27-Jul-05,,,,4986.64
29-Jul-05,,,,4919.51
01-Aug-05,,,,4924.05
02-Aug-05,,,,5018.3
03-Aug-05,,,,4997.06
04-Aug-05,,,,5070.47
05-Aug-05,,,,5131.41
08-Aug-05,,,,5110.66
09-Aug-05,,,,5130.92
10-Aug-05,,,,5283.8
11-Aug-05,,,,5371.44
12-Aug-05,,,,5406.42
16-Aug-05,,,,5524.12
17-Aug-05,,,,5622.91
18-Aug-05,,,,5567.04
19-Aug-05,,,,5653.69
22-Aug-05,,,,5690.1
23-Aug-05,,,,5508.46
24-Aug-05,,,,5433.36
25-Aug-05,,,,5594.39
26-Aug-05,,,,5678.65
29-Aug-05,,,,5756.2
30-Aug-05,,,,5830.69
31-Aug-05,,,,5925.14
01-Sep-05,,,,5989.98
02-Sep-05,,,,5994.53
05-Sep-05,,,,6038.69
06-Sep-05,,,,6043.69
08-Sep-05,,,,6095.82
09-Sep-05,,,,6038.19
12-Sep-05,,,,6113.54
13-Sep-05,,,,6155.65
14-Sep-05,,,,6123.55
15-Sep-05,,,,6253.26
16-Sep-05,,,,6311.49
19-Sep-05,,,,6363.62
20-Sep-05,,,,6273.17
21-Sep-05,,,,6039.57
22-Sep-05,,,,5579.25
23-Sep-05,,,,5605.46
26-Sep-05,,,,5870.69
27-Sep-05,,,,5910.34
28-Sep-05,,,,5917.36
29-Sep-05,,,,5806.31
30-Sep-05,,,,5697.69
03-Oct-05,,,,5824.59
04-Oct-05,,,,5912.2
05-Oct-05,,,,5856.06
06-Oct-05,,,,5766.35
07-Oct-05,,,,5736.03
10-Oct-05,,,,5680.84
11-Oct-05,,,,5626.34
13-Oct-05,,,,5579.18
14-Oct-05,,,,5419.27
17-Oct-05,,,,5352.47
18-Oct-05,,,,5336.46
19-Oct-05,,,,5127.67
20-Oct-05,,,,4990.41
21-Oct-05,,,,5053.82
24-Oct-05,,,,5079.88
25-Oct-05,,,,5087.17
26-Oct-05,,,,5087.22
27-Oct-05,,,,5005.18
28-Oct-05,,,,4878.37
31-Oct-05,,,,4952.5
01-Nov-05,,,,5072.21
02-Nov-05,,,,5076.8
07-Nov-05,,,,5197.12
08-Nov-05,,,,5275.14
09-Nov-05,,,,5256.13
10-Nov-05,,,,5289.08
11-Nov-05,,,,5376.22
14-Nov-05,,,,5389.09
16-Nov-05,,,,5453.18
17-Nov-05,,,,5467.96
18-Nov-05,,,,5482.17
21-Nov-05,,,,5430.31
22-Nov-05,,,,5408.58
23-Nov-05,,,,5455.93
24-Nov-05,,,,5514.34
25-Nov-05,,,,5555.21
26-Nov-05,,,,5594.15
28-Nov-05,,,,5646.67
29-Nov-05,,,,5599.72
30-Nov-05,,,,5567.17
01-Dec-05,,,,5614.35
02-Dec-05,,,,5625.22
05-Dec-05,,,,5640.19
06-Dec-05,,,,5647.23
07-Dec-05,,,,5691.25
08-Dec-05,,,,5742.63
09-Dec-05,,,,5825.87
12-Dec-05,,,,5848.27
13-Dec-05,,,,5853.13
14-Dec-05,,,,5823.92
15-Dec-05,,,,5785.19
16-Dec-05,,,,5814.23
19-Dec-05,,,,5863.09
20-Dec-05,,,,5828.31
21-Dec-05,,,,5851.99
22-Dec-05,,,,5867.63
23-Dec-05,,,,5817.7
26-Dec-05,,,,5668.02
27-Dec-05,,,,5778.16
28-Dec-05,,,,5785.73
29-Dec-05,,,,5861.53
30-Dec-05,,,,5943.11
02-Jan-06,,,,6027.56
03-Jan-06,,,,6144.43
04-Jan-06,,,,6170.56
05-Jan-06,,,,6148.37
06-Jan-06,,,,6167.97
09-Jan-06,,,,6206.29
10-Jan-06,,,,6172.12
12-Jan-06,,,,6207.46
13-Jan-06,,,,6257.65
16-Jan-06,,,,6218.92
17-Jan-06,,,,6143.77
18-Jan-06,,,,6076.03
19-Jan-06,,,,6255.45
20-Jan-06,,,,6313.39
23-Jan-06,,,,6375
24-Jan-06,,,,6422.74
25-Jan-06,,,,6372.79
27-Jan-06,,,,6380.26
30-Jan-06,,,,6263.75
31-Jan-06,,,,6225.35
01-Feb-06,,,,6082.9
02-Feb-06,,,,6041.27
03-Feb-06,,,,6053.67
06-Feb-06,,,,6125.06
07-Feb-06,,,,6130.29
08-Feb-06,,,,6139.7
10-Feb-06,,,,6222.35
13-Feb-06,,,,6295.38
14-Feb-06,,,,6283.28
15-Feb-06,,,,6296.33
16-Feb-06,,,,6336.11
17-Feb-06,,,,6196.28
20-Feb-06,,,,6146.01
21-Feb-06,,,,6195.23
22-Feb-06,,,,6147.42
23-Feb-06,,,,6114.01
24-Feb-06,,,,6102
27-Feb-06,,,,6131.1
28-Feb-06,,,,6144.48
01-Mar-06,,,,6222.63
02-Mar-06,,,,6229.98
03-Mar-06,,,,6244.06
06-Mar-06,,,,6320.94
07-Mar-06,,,,6359.41
08-Mar-06,,,,6292.47
09-Mar-06,,,,6306.35
10-Mar-06,,,,6371.8
13-Mar-06,,,,6370.23
14-Mar-06,,,,6318.9
16-Mar-06,,,,6317
17-Mar-06,,,,6249.07
20-Mar-06,,,,6263.42
21-Mar-06,,,,6238.73
