SlNo,Year,Month,Rainfall,YearMonth
985,1953,1,4,23437
986,1953,2,6,23438
987,1953,3,2,23439
988,1953,4,900,23440
989,1953,5,440,23441
990,1953,6,1216,23442
991,1953,7,2745,23443
992,1953,8,983,23444
993,1953,9,1291,23445
994,1953,10,3500,23446
995,1953,11,32,23447
996,1953,12,0,23448
997,1954,1,27,23449
998,1954,2,5,23450
999,1954,3,66,23451
1000,1954,4,497,23452
1001,1954,5,1791,23453
1002,1954,6,1000,23454
1003,1954,7,2193,23455
1004,1954,8,1833,23456
1005,1954,9,404,23457
1006,1954,10,1956,23458
1007,1954,11,0,23459
1008,1954,12,218,23460
1009,1955,1,22,23461
1010,1955,2,13,23462
1011,1955,3,212,23463
1012,1955,4,703,23464
1013,1955,5,1841,23465
1014,1955,6,908,23466
1015,1955,7,663,23467
1016,1955,8,1158,23468
1017,1955,9,1938,23469
1018,1955,10,1931,23470
1019,1955,11,187,23471
1020,1955,12,49,23472
1021,1956,1,11,23473
1022,1956,2,30,23474
1023,1956,3,2,23475
1024,1956,4,781,23476
1025,1956,5,350,23477
1026,1956,6,1341,23478
1027,1956,7,1571,23479
1028,1956,8,810,23480
1029,1956,9,1335,23481
1030,1956,10,3078,23482
1031,1956,11,1348,23483
1032,1956,12,13,23484
1033,1957,1,0,23485
1034,1957,2,16,23486
1035,1957,3,105,23487
1036,1957,4,202,23488
1037,1957,5,1943,23489
1038,1957,6,1346,23490
1039,1957,7,1298,23491
1040,1957,8,818,23492
1041,1957,9,475,23493
1042,1957,10,1800,23494
1043,1957,11,836,23495
1044,1957,12,4,23496
1045,1958,1,73,23497
1046,1958,2,54,23498
1047,1958,3,81,23499
1048,1958,4,711,23500
1049,1958,5,1618,23501
1050,1958,6,1063,23502
1051,1958,7,1435,23503
1052,1958,8,1655,23504
1053,1958,9,1296,23505
1054,1958,10,1481,23506
1055,1958,11,685,23507
1056,1958,12,18,23508
1057,1959,1,0,23509
1058,1959,2,103,23510
1059,1959,3,0,23511
1060,1959,4,255,23512
1061,1959,5,994,23513
1062,1959,6,1918,23514
1063,1959,7,2348,23515
1064,1959,8,1200,23516
1065,1959,9,1903,23517
1066,1959,10,759,23518
1067,1959,11,447,23519
1068,1959,12,39,23520
1069,1960,1,1,23521
1070,1960,2,0,23522
1071,1960,3,315,23523
1072,1960,4,362,23524
1073,1960,5,901,23525
1074,1960,6,674,23526
1075,1960,7,1546,23527
1076,1960,8,694,23528
1077,1960,9,1610,23529
1078,1960,10,1348,23530
1079,1960,11,705,23531
1080,1960,12,1,23532
1081,1961,1,22,23533
1082,1961,2,30,23534
1083,1961,3,30,23535
1084,1961,4,714,23536
1085,1961,5,1466,23537
1086,1961,6,1391,23538
1087,1961,7,3147,23539
1088,1961,8,1224,23540
1089,1961,9,605,23541
1090,1961,10,1833,23542
1091,1961,11,193,23543
1092,1961,12,18,23544
1093,1962,1,15,23545
1094,1962,2,71,23546
1095,1962,3,51,23547
